image_var,name,tag,digest
CDI_CONTROLLER_IMAGE,docker.io/kubevirt/cdi-controller,CDI_VERSION,8135370750adf2eaa269b346a68f40ed9c93400f34e2a9817704dbe466aa8e92
CDI_IMPORTER_IMAGE,docker.io/kubevirt/cdi-importer,CDI_VERSION,79f1e9ddc6114d954ee0cbdcddd8dc715d07dcfb327a459d3a530147fcd55b48
HCO_OPERATOR_IMAGE,quay.io/kubevirt/hyperconverged-cluster-operator,CSV_VERSION,d30b96dca17e99c9c12c83609629fb886bbd99255e2ee020ffc598c476ccdfb2
